Date, Open, High, Low, Close, Volume
12/02/20, 335.22, 337.11, 334.65, 337.01, 2270336
12/01/20, 335.92, 337.80, 335.32, 336.30, 3237145
11/30/20, 333.40, 333.63, 330.04, 332.64, 4175707
11/27/20, 334.285, 334.61, 333.18, 334.14, 984710
11/25/20, 333.67, 333.67, 332.15, 333.19, 2256860
11/24/20, 331.02, 334.25, 330.10, 333.74, 2659731
11/23/20, 328.28, 329.60, 326.06, 328.42, 2222635
11/20/20, 328.41, 328.658, 326.40, 326.49, 3517557
11/19/20, 326.76, 329.09, 325.41, 328.69, 2962161
11/18/20, 331.63, 332.14, 327.29, 327.32, 2647827
11/17/20, 330.73, 332.50, 329.25, 331.34, 3052136
11/16/20, 331.65, 333.12, 330.405, 333.00, 3018755
11/13/20, 326.45, 329.73, 325.89, 329.01, 1998446
11/12/20, 326.74, 327.44, 322.73, 324.60, 2539783
11/11/20, 327.42, 328.50, 326.17, 327.63, 2773482
11/10/20, 324.77, 326.30, 322.06, 325.34, 4120821
11/09/20, 334.36, 335.20, 325.28, 325.76, 8097281
11/06/20, 321.44, 322.92, 319.425, 321.75, 3640619
11/05/20, 320.94, 323.55, 320.52, 321.79, 3950281
11/04/20, 313.19, 319.65, 312.00, 315.61, 5750173
11/03/20, 306.57, 310.74, 306.09, 308.66, 3378343
11/02/20, 303.37, 305.31, 300.63, 303.31, 4080396
10/30/20, 301.56, 302.86, 296.37, 299.82, 5892432
10/29/20, 300.32, 306.25, 298.69, 303.23, 5365171
10/28/20, 305.13, 305.74, 299.615, 300.07, 5650454
10/27/20, 312.18, 312.47, 310.5583, 310.77, 2196107
10/26/20, 314.31, 315.08, 308.36, 311.80, 3335822
10/23/20, 317.84, 317.84, 315.24, 317.65, 1429454
10/22/20, 315.06, 317.16, 312.99, 316.57, 2362400
10/21/20, 315.41, 317.5224, 314.59, 314.84, 2607729
10/20/20, 315.48, 318.67, 314.7792, 315.41, 3066561
10/19/20, 320.30, 320.89, 313.33, 314.17, 2229583
10/16/20, 320.65, 322.21, 318.90, 318.99, 1669931
10/15/20, 315.71, 319.70, 315.2252, 319.26, 2487096
10/14/20, 322.22, 323.30, 318.93, 319.64, 1907791
10/13/20, 323.64, 323.73, 320.707, 321.65, 2229739
10/12/20, 321.14, 325.222, 320.66, 323.72, 2194283
10/09/20, 317.47, 319.0999, 316.85, 318.58, 2794077
10/08/20, 314.96, 315.85, 314.05, 315.77, 1731711
10/07/20, 310.607, 313.81, 310.60, 313.00, 1707831
10/06/20, 312.25, 314.32, 307.1806, 307.72, 3389808
10/05/20, 308.69, 312.29, 308.69, 312.08, 2364454
10/02/20, 304.72, 308.58, 304.215, 306.72, 3125089
10/01/20, 310.16, 311.11, 307.76, 309.60, 3005650
09/30/20, 306.04, 310.7499, 305.85, 307.65, 4304504
09/29/20, 306.84, 307.51, 304.65, 305.30, 2307331
09/28/20, 307.42, 309.02, 306.43, 308.36, 2437913
09/25/20, 297.575, 304.04, 296.72, 303.28, 2683969
09/24/20, 296.31, 301.46, 295.04, 298.50, 3130664
09/23/20, 305.28, 305.55, 297.17, 297.68, 2755784
09/22/20, 303.11, 305.24, 300.67, 304.74, 2741533
09/21/20, 300.47, 301.75, 296.83, 301.69, 4536837
09/18/20, 309.44, 309.48, 302.55, 305.00, 3421015
09/17/20, 306.48, 310.27, 305.96, 308.59, 2848323
09/16/20, 313.81, 315.18, 311.04, 311.31, 2316222
09/15/20, 313.47, 314.26, 311.52, 312.57, 2570928
09/14/20, 310.08, 312.75, 309.61, 310.97, 3056093
